Variable String	Name	Default Unit
net_radiation_lw	Net Longwave Radiation	W/m**2
sonic_air_temp	Sonic Temperature	Celsius
sonic_vertical_vel	Vertical_Velocity	m/s
sonic_zonal_wind_stdev	Zonal_Wind Standard_Deviation	m/s
sonic_vertical_wind_stdev	Vertical_Wind Standard_Deviation	m/s
sonic_air_temp_stdev	Temperature Standard_Deviation	Centigrade
vertical_heat_flux	Vertical Heat_Flux	m/s C
friction_velocity	Friction Velocity	m/s
w_ratio	SIGW/USTR	nondimensional
sonic_ob_count	Sonic_Obs Total	nondimensional
sonic_warn_count	Sonic Warnings	nondimensional
moisture_stdev	Moisture Standard_Deviation	g/m**3
vertical_moisture_flux	Vertical Moisture_Flux	m/s g/m**3
virtual_temp	Virtual Temperature	Celsius
geopotential_height	Geopotential Height	Meters
outgoing_radiation_sw	Outgoing Shortwave Radiation	W/m**2
PM_25_concentration	PM_2.5 Concentration	ug/m3
ozone_concentration	Ozone Concentration	ppb
precip_accum_since_7_local	Precipitation since_7_AM local	Millimeters
snow_accume_24_hour	Snow 24hr	Millimeters
snow_accum_since_7_local	Snow since 7 AM local	Millimeters
past_weather_code	Past weather	code
precip_accum_12_hour	Precipitation 12hr	Millimeters
surface_level	Surface Level	Millimeters
estimated_snowfall_rate	Estimated Snowfall_Rate	Millimeters/hr
incoming_radiation_lw	Incoming Longwave Radiation	W/m**2
outgoing_radiation_lw	Outgoing Longwave Radiation	W/m**2
permittivity	Permittivity	
electric_conductivity	Electric Conductivity	dS/m
sensor_error_code	Sensor Error Code	code
precip_accum_five_minute	Precipitation 5min	Millimeters
precip_accum_since_00utc	Precipitation_since 00_UTC	Millimeters
gage_height	Gauge height	ft
stream_flow	Stream flow	ft3/s
black_carbon_concentration	Black Carbon Concentration	ug/m3
precip_accum_since_local_midnight	Precipitation_since local_midnight	Millimeters
particulate_concentration	Particulate Concentration	ug/m3
filter_percentage	Filter Percentage	%
derived_aerosol_boundary_layer_depth	Derived Aerosol Boundary Layer Depth	Meters
wind_cardinal_direction	Wind cardinal direction	
wet_bulb_temperature	Wet bulb temperature	
wind_chill	Wind chill	
heat_index	Heat index	
weather_condition	Weather condition	
